Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""Source Name"""	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS530	" ""ApoE metabolomics expt"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
