Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS549	" ""Volunteer4"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood plasma	EFO	http://purl.obolibrary.org/obo/UBERON_0001969
MTBLS549	" ""Volunteer4"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	erythrocyte	EFO	http://purl.obolibrary.org/obo/CL_0000232
MTBLS549	" ""Volunteer1"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178
MTBLS549	" ""Volunteer1"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood plasma	EFO	http://purl.obolibrary.org/obo/UBERON_0001969
MTBLS549	" ""Volunteer1"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	erythrocyte	EFO	http://purl.obolibrary.org/obo/CL_0000232
MTBLS549	" ""Volunteer2"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178
MTBLS549	" ""Volunteer2"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood plasma	EFO	http://purl.obolibrary.org/obo/UBERON_0001969
MTBLS549	" ""Volunteer2"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	erythrocyte	EFO	http://purl.obolibrary.org/obo/CL_0000232
MTBLS549	" ""Volunteer3"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178
MTBLS549	" ""Volunteer3"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood plasma	EFO	http://purl.obolibrary.org/obo/UBERON_0001969
MTBLS549	" ""Volunteer3"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	erythrocyte	EFO	http://purl.obolibrary.org/obo/CL_0000232
MTBLS549	" ""Volunteer4"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178
MTBLS549	" ""Volunteer4"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood plasma	EFO	http://purl.obolibrary.org/obo/UBERON_0001969
MTBLS549	" ""Volunteer4"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	erythrocyte	EFO	http://purl.obolibrary.org/obo/CL_0000232
MTBLS549	" ""Volunteer1"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178
MTBLS549	" ""Volunteer1"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood plasma	EFO	http://purl.obolibrary.org/obo/UBERON_0001969
MTBLS549	" ""Volunteer1"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	erythrocyte	EFO	http://purl.obolibrary.org/obo/CL_0000232
MTBLS549	" ""Volunteer2"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178
MTBLS549	" ""Volunteer2"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood plasma	EFO	http://purl.obolibrary.org/obo/UBERON_0001969
MTBLS549	" ""Volunteer2"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	erythrocyte	EFO	http://purl.obolibrary.org/obo/CL_0000232
MTBLS549	" ""Volunteer3"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178
MTBLS549	" ""Volunteer3"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood plasma	EFO	http://purl.obolibrary.org/obo/UBERON_0001969
MTBLS549	" ""Volunteer3"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	erythrocyte	EFO	http://purl.obolibrary.org/obo/CL_0000232
MTBLS549	" ""Volunteer4"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178
MTBLS549	" ""Volunteer4"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood plasma	EFO	http://purl.obolibrary.org/obo/UBERON_0001969
MTBLS549	" ""Volunteer4"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	erythrocyte	EFO	http://purl.obolibrary.org/obo/CL_0000232
