Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
MTBLS217	" ""Mice Brain"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	brain	BTO	http://purl.obolibrary.org/obo/BTO_0000142
